PROFILING area			um2

area	"(-inf, 0.3645um2]"	3 elements
		C2MOS_FF	0.3645	""
		TG_FF	0.3645	""
		TSPC_FF	0.3645	""
	"(0.3645um2, +inf)"	none

Profiling Statistics	Average	0.3645
	Standard Deviation	0
